SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-10-2021,Single Family Residential,9920 SW Wrangler Pl,Beaverton,OR,97008,577900.0,3.0,2.5,SUMMER FALLS,2067.0,3484.0,2015.0,52.0,280.0,85.0,Sold,,,https://www.redfin.com/OR/Beaverton/9920-SW-Old-Weir-Rd-97008/home/56335690,RMLS,21152511.0,N,Y,45.4482636,-122.8251625
PAST SALE,October-8-2021,Single Family Residential,9809 SW 130th Ave,Beaverton,OR,97008,490000.0,3.0,2.0,BEAVERTON,1040.0,8712.0,1979.0,85.0,471.0,,Sold,,,https://www.redfin.com/OR/Beaverton/9809-SW-130th-Ave-97008/home/26687470,RMLS,21573909.0,N,Y,45.4485416,-122.8111781
PAST SALE,October-5-2021,Single Family Residential,11047 SW Eschman Way,Tigard,OR,97223,535000.0,4.0,2.5,Summer Lake,1997.0,4791.0,1992.0,88.0,268.0,,Sold,,,https://www.redfin.com/OR/Tigard/11047-SW-Eschman-Way-97223/home/26662357,RMLS,21597323.0,N,Y,45.4400374,-122.8115672
PAST SALE,October-12-2021,Single Family Residential,2420 SW Garden View Ave,Portland,OR,97225,807800.0,4.0,3.0,VISTA HILLS,3406.0,11325.0,1964.0,81.0,237.0,,Sold,,,https://www.redfin.com/OR/Portland/2420-SW-Garden-View-Ave-97225/home/26637203,RMLS,21490475.0,N,Y,45.502537,-122.7704745
PAST SALE,October-15-2021,Single Family Residential,10425 SW Hawthorne Ln,Portland,OR,97225,1350000.0,3.0,2.5,VISTA HILLS,3652.0,21780.0,1959.0,78.0,370.0,,Sold,,,https://www.redfin.com/OR/Portland/10425-SW-Hawthorne-Ln-97225/home/26609184,RMLS,21446084.0,N,Y,45.5004271,-122.7839894
PAST SALE,November-5-2021,Single Family Residential,7770 SW Oleson Rd,Portland,OR,97223,525000.0,3.0,2.0,"Portland West, Raleigh Hills",2018.0,16988.0,1942.0,57.0,260.0,,Sold,,,https://www.redfin.com/OR/Portland/7770-SW-Oleson-Rd-97223/home/26716216,RMLS,21526693.0,N,Y,45.4637623,-122.7554873
PAST SALE,October-13-2021,Single Family Residential,10825 SW 78th Ave,Tigard,OR,97223,491500.0,3.0,2.0,"Tigard, Tualatin, Sherwood, Wilsonville",1344.0,8712.0,1973.0,80.0,366.0,,Sold,,,https://www.redfin.com/OR/Tigard/10825-SW-78th-Ave-97223/home/26731154,RMLS,21180232.0,N,Y,45.4418139,-122.7575978
PAST SALE,,Single Family Residential,11170 SW 79th Ave,Tigard,OR,97223,310000.0,3.0,1.0,,1271.0,10019.0,1953.0,,244.0,,,,,https://www.redfin.com/OR/Tigard/11170-SW-79th-Ave-97223/home/26630581,,,N,Y,45.439359,-122.7583384
PAST SALE,November-18-2021,Single Family Residential,10915 SW 74th Ave,Tigard,OR,97223,444000.0,4.0,2.0,"Tigard, Tualatin, Sherwood, Wilsonville",1824.0,11325.0,1951.0,44.0,243.0,,Sold,,,https://www.redfin.com/OR/Tigard/10915-SW-74th-Ave-97223/home/25757266,RMLS,21679549.0,N,Y,45.441154,-122.75407
PAST SALE,November-19-2021,Single Family Residential,4125 SW 83rd Ave,Portland,OR,97225,839000.0,5.0,3.0,RALEIGH HILLS/WEST SLOPE,3310.0,14374.0,1952.0,43.0,253.0,,Sold,,,https://www.redfin.com/OR/Portland/4125-SW-83rd-Ave-97225/home/26639882,RMLS,21272663.0,N,Y,45.4902162,-122.7621399
PAST SALE,,Other,7549 SW Red Cedar Way,Tigard,OR,97223,980000.0,,,,,4792.0,,,,,,,,https://www.redfin.com/OR/Tigard/7549-SW-Red-Cedar-Way-97223/home/171420926,,,N,Y,45.449082,-122.753616
